Bill To Name First Line,Bill To Name Second Line,Account Number,Service Address,Bill Period Start,Bill Period End,Utility Type,Consumption Amount,Line Item Description,Line Item Charge,Bill Date,Due Date,SourceFile_Page
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,CTQU Off-Peak,$24.97,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,CTOU Off-Peak,$8.32,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,RDA,-$1.22 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,RDA,-$0.19 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Demand Side Mgmt,$4.45,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,PurchCapCostAdj,$1.64,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Trans Cost Adj,$3.66,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,ECA 02,$20.11,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Trans Elec Plan,$0.97,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Renew. Energy Std Adj,$0.84,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Colo Energy Plan Adj,$0.84,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Clean Energy Plan Rev,$1.09,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Energy Assistance Chg,$0.81,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Franchise Fee,$2.67,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Sales Tax,$7.65,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,35.25 kWh,CTOU On-Peak,$3.59,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,11.75 kWh,CTOU On-Peak,$1.90,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,45 kWh,CTOU Shoulder,$3.64,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,15 kWh,CTOU Shoulder,$1.66,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,419.25 kWh,CTOU Off-Peak,$25.15,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,139.75 kWh,CTOU Off-Peak,$8.38,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,499.50 kWh,RDA,-$123 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,166.50 kWh,RDA,-$0.19 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,44 33,Demand Side Mgmt,$4.42,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,44 33,PurchCapCostAdJ,$1.61,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,"44,33",Trans Cost Adj,$3.62,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,44.33,ECA 02,$19.94,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,44 33,Trans Elec Plan,$0.95,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Renew. Energy Std Adj,$0.83,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Colo Energy Plan Adj,$0.83,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Clean Energy Plan Rev,$1.09,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Energy Assistance Chg,$0.81,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Franchise Fee,$2.64,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS,C/O UTILIT!ES DEPARTMENT,53-0010211902.1,"9830 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6004",05/07/25,06/08/25,Electricity,MISSING,Sales Tax,$7.57,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_7
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,60 kWh,CTOU On-Peak,$6.11,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,20 kWh,CTOU On-Peak,$3.24,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,62.25 kWh,CTOU Shoulder,$5.04,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,20.75 kWh,CTOU Shoulder,$2.30,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,463.50 kWh,CTOU Off-Peak,$27.80,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,154.50 kWh,CTOU Off-Peak,$9.27,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,585.75 kWh,RDA,-$1.44,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,195.25 kWh,RDA,-$0.22,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,53.76,Demand Side Mgmt,$5.35,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,53.76,PurchCapCostAdJ,$1.96,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,53.76,Trans Cost Adj,$4.38,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,53.76,ECA 02,$24.17,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,53.76,Trans Elec Plan,$1.16,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Renew. Energy Std Adj,$1.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Colo Energy Plan Adj,$1.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Clean Energy Plan Rev,$1.25,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Energy Assistance Chg,$0.81,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Franchise Fee,$3.13,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILIT:ES DEPARTMENT,93-0010211902-1,"9890 WESTCLIFF PKWY BLDG 13 WESTMINSTER, CO 80021-6007",05/07/25,06/08/25,Electricity,MISSING,Sales Tax,$8.98,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_8
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,21.75 kWh,CTOU On-Peak,$2.22,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,7.25 kWh,CTOU On-Peak,$1.17,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,18.75 kWh,CTOU Shoulder,$1.52,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,6.25 kWh,CTOU Shoulder,$0.69,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,180.75 kWh,CTOU Off-Peak,$10.84,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,60.25 kWh,CTOU Off-Peak,$3.61,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,221.25 kWh,RDA,-$0.54 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,73.75 kWh,RDA,-$0.09 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,20.06,Demand Side Mgmt,$2.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,20.06,PurchCapCostAd,$0.73,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,20.06,Trans Cost Adj,$1.64,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,20.06,ECA Q2,$9.01,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,20.06,Trans Elec Plan,$0.43,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Renew. Energy Std Adj,$0.43,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Colo Energy Plan Adj,$0.43,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Clean Energy Plan Rev,$0.54,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Energy Assistance Chg,$0.81,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Franchise Fee,$1.39,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,931175268,"9800 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6002",05/07/25,06/08/25,Electricity,MISSING,Sales Tax,$4.01,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_9
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,MISSING,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,17.25 kWh,CTOU On-Peak,$1.76,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,5.75 kWh,CTOU On-Peak,$0.93,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,25.90 kWh,CTOU Shoulder,$2.06,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,8.50 kWh,CTOU Shoulder,$0.94,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,264 kWh,CTOU Off-Peak,$15.83,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,88 kWh,CTOU Off-Peak,$5.28,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,33-0010211902-1,"9880 WESTCLIFF PKWY BLDG HSE19 WESTMINSTER, CO 80021-6013",05/07/25,06/08/25,ELECTRICITY,306.75 kWh,RDA,-$0.75 CR,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_10
